cpp_min cpp_max java_min java_max perl_min perl_max python_min python_max sap_min sap_max bash_min bash_max perl_min perl_max ruby_min ruby_max javascript_min javascript_max php_min php_max onec_min onec_max csharp_min csharp_max 
100000 90000 110000 100000 NA NA 80000 100000 NA NA NA NA NA NA NA NA 70000 80000 80000 70000 NA NA 80000 110000 
90000 100000 50000 200000 NA NA 60000 90000 NA NA NA NA NA NA NA NA 30000 100000 40000 80000 NA NA 100000 110000 
120000 180000 100000 90000 NA NA 50000 120000 NA NA NA NA NA NA NA NA 60000 85000 70000 80000 NA NA 90000 150000 
50000 120000 50000 140000 NA NA 60000 160000 NA NA NA NA NA NA NA NA 80000 100000 80000 130000 NA NA 80000 90000 
60000 150000 110000 150000 NA NA 110000 120000 NA NA NA NA NA NA NA NA 70000 130000 70000 100000 NA NA 100000 60000 
80000 170000 60000 160000 NA NA 90000 120000 NA NA NA NA NA NA NA NA 80000 100000 100000 85000 NA NA 80000 150000 
90000 4550 90000 110000 NA NA 60000 140000 NA NA NA NA NA NA NA NA 40000 90000 80000 100000 NA NA 130000 150000 
100000 180000 70000 130000 NA NA 80000 120000 NA NA NA NA NA NA NA NA 70000 100000 100000 40000 NA NA 80000 140000 
120000 70000 60000 80000 NA NA 50000 170000 NA NA NA NA NA NA NA NA 80000 130000 75000 90000 NA NA 120000 100000 
60000 NA 150000 100000 NA NA 80000 80000 NA NA NA NA NA NA NA NA 80000 90000 50000 100000 NA NA 70000 120000 
120000 NA 90000 50000 NA NA 60000 180000 NA NA NA NA NA NA NA NA 100000 80000 30000 130000 NA NA 80000 150000 
80000 NA 100000 100000 NA NA 90000 75000 NA NA NA NA NA NA NA NA 75000 60000 65000 180000 NA NA 50000 100000 
80000 NA 120000 50000 NA NA 130000 160000 NA NA NA NA NA NA NA NA 90000 150000 80000 80000 NA NA 80000 90000 
60000 NA 110000 75000 NA NA 120000 120000 NA NA NA NA NA NA NA NA 90000 115000 80000 60000 NA NA 90000 90000 
100000 NA 120000 150000 NA NA 80000 100000 NA NA NA NA NA NA NA NA 100000 100000 150000 70000 NA NA 120000 150000 
120000 NA 120000 70000 NA NA 80000 NA NA NA NA NA NA NA NA NA 100000 70000 80000 150000 NA NA 80000 100000 
40000 NA 100000 80000 NA NA 100000 NA NA NA NA NA NA NA NA NA 70000 130000 60000 100000 NA NA 60000 100000 
45000 NA 80000 110000 NA NA 85000 NA NA NA NA NA NA NA NA NA 60000 150000 50000 70000 NA NA 100000 120000 
100000 NA 90000 100000 NA NA 100000 NA NA NA NA NA NA NA NA NA 120000 120000 50000 150000 NA NA 120000 215000 
50000 NA 40000 85000 NA NA 120000 NA NA NA NA NA NA NA NA NA 80000 70000 90000 100000 NA NA 60000 80000 
60000 NA 70000 100000 NA NA 50000 NA NA NA NA NA NA NA NA NA 90000 120000 110000 100000 NA NA 90000 NA 
70000 NA 60000 130000 NA NA 100000 NA NA NA NA NA NA NA NA NA 60000 70000 80000 180000 NA NA 70000 NA 
120000 NA 50000 130000 NA NA 70000 NA NA NA NA NA NA NA NA NA 50000 45000 60000 80000 NA NA 90000 NA 
80000 NA 30000 100000 NA NA NA NA NA NA NA NA NA NA NA NA 90000 150000 100000 120000 NA NA 50000 NA 
70000 NA 60000 90000 NA NA NA NA NA NA NA NA NA NA NA NA 110000 95000 60000 100000 NA NA 60000 NA 
90000 NA 80000 100000 NA NA NA NA NA NA NA NA NA NA NA NA 100000 100000 90000 70000 NA NA 70000 NA 
100000 NA 70000 130000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 100000 80000 70000 NA NA 110000 NA 
120000 NA 80000 180000 NA NA NA NA NA NA NA NA NA NA NA NA 60000 150000 150000 95000 NA NA 120000 NA 
85000 NA 40000 120000 NA NA NA NA NA NA NA NA NA NA NA NA 100000 180000 130000 100000 NA NA 110000 NA 
75000 NA 70000 90000 NA NA NA NA NA NA NA NA NA NA NA NA 130000 60000 60000 150000 NA NA 100000 NA 
3000 NA 80000 80000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 150000 80000 80000 NA NA 80000 NA 
120000 NA 80000 60000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 150000 35000 200000 NA NA 50000 NA 
50000 NA 100000 180000 NA NA NA NA NA NA NA NA NA NA NA NA 60000 60000 80000 150000 NA NA 50000 NA 
NA NA 80000 180000 NA NA NA NA NA NA NA NA NA NA NA NA 70000 80000 60000 100000 NA NA 130000 NA 
NA NA 100000 150000 NA NA NA NA NA NA NA NA NA NA NA NA 60000 80000 70000 90000 NA NA 100000 NA 
NA NA 75000 115000 NA NA NA NA NA NA NA NA NA NA NA NA 60000 150000 70000 120000 NA NA 60000 NA 
NA NA 90000 100000 NA NA NA NA NA NA NA NA NA NA NA NA 35000 90000 60000 110000 NA NA 60000 NA 
NA NA 115000 70000 NA NA NA NA NA NA NA NA NA NA NA NA 100000 120000 60000 120000 NA NA 85000 NA 
NA NA 90000 130000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 150000 80000 100000 NA NA 100000 NA 
NA NA 75000 150000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 100000 80000 100000 NA NA 180000 NA 
NA NA 100000 120000 NA NA NA NA NA NA NA NA NA NA NA NA 60000 120000 50000 100000 NA NA 60000 NA 
NA NA 100000 180000 NA NA NA NA NA NA NA NA NA NA NA NA 50000 100000 60000 110000 NA NA NA NA 
NA NA 70000 70000 NA NA NA NA NA NA NA NA NA NA NA NA 35000 100000 80000 110000 NA NA NA NA 
NA NA 60000 120000 NA NA NA NA NA NA NA NA NA NA NA NA 100000 70000 40000 75000 NA NA NA NA 
NA NA 120000 180000 NA NA NA NA NA NA NA NA NA NA NA NA 60000 100000 150000 90000 NA NA NA NA 
NA NA 80000 70000 NA NA NA NA NA NA NA NA NA NA NA NA 120000 110000 90000 120000 NA NA NA NA 
NA NA 80000 215000 NA NA NA NA NA NA NA NA NA NA NA NA 120000 110000 80000 70000 NA NA NA NA 
NA NA 70000 45000 NA NA NA NA NA NA NA NA NA NA NA NA 35000 75000 40000 150000 NA NA NA NA 
NA NA 80000 150000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 110000 80000 100000 NA NA NA NA 
NA NA 90000 95000 NA NA NA NA NA NA NA NA NA NA NA NA 60000 120000 90000 60000 NA NA NA NA 
NA NA 60000 100000 NA NA NA NA NA NA NA NA NA NA NA NA 40000 120000 70000 140000 NA NA NA NA 
NA NA 110000 100000 NA NA NA NA NA NA NA NA NA NA NA NA 90000 70000 120000 115000 NA NA NA NA 
NA NA 50000 150000 NA NA NA NA NA NA NA NA NA NA NA NA 40000 150000 50000 150000 NA NA NA NA 
NA NA 120000 180000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 70000 50000 140000 NA NA NA NA 
NA NA 90000 60000 NA NA NA NA NA NA NA NA NA NA NA NA 70000 100000 40000 150000 NA NA NA NA 
NA NA 110000 150000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 130000 70000 40000 NA NA NA NA 
NA NA 100000 150000 NA NA NA NA NA NA NA NA NA NA NA NA 130000 140000 60000 70000 NA NA NA NA 
NA NA 80000 60000 NA NA NA NA NA NA NA NA NA NA NA NA 70000 130000 60000 100000 NA NA NA NA 
NA NA 60000 80000 NA NA NA NA NA NA NA NA NA NA NA NA 120000 150000 70000 80000 NA NA NA NA 
NA NA 100000 80000 NA NA NA NA NA NA NA NA NA NA NA NA 50000 40000 100000 90000 NA NA NA NA 
NA NA 100000 150000 NA NA NA NA NA NA NA NA NA NA NA NA 70000 100000 40000 90000 NA NA NA NA 
NA NA 80000 90000 NA NA NA NA NA NA NA NA NA NA NA NA 40000 80000 60000 90000 NA NA NA NA 
NA NA 150000 120000 NA NA NA NA NA NA NA NA NA NA NA NA 50000 90000 120000 110000 NA NA NA NA 
NA NA 130000 130000 NA NA NA NA NA NA NA NA NA NA NA NA 70000 90000 80000 90000 NA NA NA NA 
NA NA 80000 5000 NA NA NA NA NA NA NA NA NA NA NA NA 40000 90000 55000 100000 NA NA NA NA 
NA NA 80000 150000 NA NA NA NA NA NA NA NA NA NA NA NA 70000 110000 70000 105000 NA NA NA NA 
NA NA 60000 100000 NA NA NA NA NA NA NA NA NA NA NA NA 60000 90000 90000 50000 NA NA NA NA 
NA NA 70000 120000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 90000 150000 80000 NA NA NA NA 
NA NA 150000 100000 NA NA NA NA NA NA NA NA NA NA NA NA 60000 100000 80000 65000 NA NA NA NA 
NA NA 60000 100000 NA NA NA NA NA NA NA NA NA NA NA NA 70000 140000 90000 150000 NA NA NA NA 
NA NA 60000 70000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 110000 130000 120000 NA NA NA NA 
NA NA 35000 100000 NA NA NA NA NA NA NA NA NA NA NA NA 100000 50000 100000 133000 NA NA NA NA 
NA NA 100000 110000 NA NA NA NA NA NA NA NA NA NA NA NA 40000 125000 70000 80000 NA NA NA NA 
NA NA 80000 110000 NA NA NA NA NA NA NA NA NA NA NA NA 60000 140000 30000 70000 NA NA NA NA 
NA NA 80000 75000 NA NA NA NA NA NA NA NA NA NA NA NA 90000 80000 50000 100000 NA NA NA NA 
NA NA 60000 110000 NA NA NA NA NA NA NA NA NA NA NA NA 70000 65000 70000 90000 NA NA NA NA 
NA NA 50000 120000 NA NA NA NA NA NA NA NA NA NA NA NA 55000 150000 50000 80000 NA NA NA NA 
NA NA 35000 130000 NA NA NA NA NA NA NA NA NA NA NA NA 100000 120000 60000 150000 NA NA NA NA 
NA NA 100000 120000 NA NA NA NA NA NA NA NA NA NA NA NA 70000 70000 80000 80000 NA NA NA NA 
NA NA 60000 70000 NA NA NA NA NA NA NA NA NA NA NA NA 90000 100000 70000 54500 NA NA NA NA 
NA NA 120000 150000 NA NA NA NA NA NA NA NA NA NA NA NA 100000 85000 60000 80000 NA NA NA NA 
NA NA 120000 150000 NA NA NA NA NA NA NA NA NA NA NA NA 40000 90000 50000 120000 NA NA NA NA 
NA NA 35000 140000 NA NA NA NA NA NA NA NA NA NA NA NA 130000 100000 90000 120000 NA NA NA NA 
NA NA 80000 130000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 80000 45000 80000 NA NA NA NA 
NA NA 60000 70000 NA NA NA NA NA NA NA NA NA NA NA NA 100000 150000 70000 100000 NA NA NA NA 
NA NA 40000 100000 NA NA NA NA NA NA NA NA NA NA NA NA 120000 130000 80000 90000 NA NA NA NA 
NA NA 90000 130000 NA NA NA NA NA NA NA NA NA NA NA NA 30000 80000 50000 120000 NA NA NA NA 
NA NA 40000 140000 NA NA NA NA NA NA NA NA NA NA NA NA 70000 54500 100000 35000 NA NA NA NA 
NA NA 80000 130000 NA NA NA NA NA NA NA NA NA NA NA NA 50000 140000 90000 100000 NA NA NA NA 
NA NA 70000 2000 NA NA NA NA NA NA NA NA NA NA NA NA 60000 80000 130000 90000 NA NA NA NA 
NA NA 3000 150000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 70000 50000 100000 NA NA NA NA 
NA NA 70000 110000 NA NA NA NA NA NA NA NA NA NA NA NA 70000 120000 40000 75777 NA NA NA NA 
NA NA 80000 40000 NA NA NA NA NA NA NA NA NA NA NA NA 60000 120000 80000 140000 NA NA NA NA 
NA NA 130000 100000 NA NA NA NA NA NA NA NA NA NA NA NA 45000 80000 60000 75000 NA NA NA NA 
NA NA 90000 80000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 120000 60000 60000 NA NA NA NA 
NA NA 70000 90000 NA NA NA NA NA NA NA NA NA NA NA NA 3200 120000 100000 80000 NA NA NA NA 
NA NA 120000 90000 NA NA NA NA NA NA NA NA NA NA NA NA 50000 35000 54000 100000 NA NA NA NA 
NA NA 50000 90000 NA NA NA NA NA NA NA NA NA NA NA NA 100000 70000 40000 40000 NA NA NA NA 
NA NA 70000 110000 NA NA NA NA NA NA NA NA NA NA NA NA 90000 80000 40000 120000 NA NA NA NA 
NA NA 40000 90000 NA NA NA NA NA NA NA NA NA NA NA NA 45000 80000 60000 110000 NA NA NA NA 
NA NA 40000 90000 NA NA NA NA NA NA NA NA NA NA NA NA 70000 65000 60000 100000 NA NA NA NA 
NA NA 50000 100000 NA NA NA NA NA NA NA NA NA NA NA NA 95000 90000 50000 90000 NA NA NA NA 
NA NA 70000 140000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 100000 80000 70000 NA NA NA NA 
NA NA 40000 110000 NA NA NA NA NA NA NA NA NA NA NA NA 60000 75777 60000 120000 NA NA NA NA 
NA NA 70000 50000 NA NA NA NA NA NA NA NA NA NA NA NA 100000 110000 80000 100000 NA NA NA NA 
NA NA 60000 125000 NA NA NA NA NA NA NA NA NA NA NA NA 90000 60000 80000 120000 NA NA NA NA 
NA NA 80000 150000 NA NA NA NA NA NA NA NA NA NA NA NA 50000 80000 35000 90000 NA NA NA NA 
NA NA 60000 140000 NA NA NA NA NA NA NA NA NA NA NA NA 40000 120000 80000 120000 NA NA NA NA 
NA NA 70000 80000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 100000 80000 5000 NA NA NA NA 
NA NA 80000 65000 NA NA NA NA NA NA NA NA NA NA NA NA 60000 40000 70000 110000 NA NA NA NA 
NA NA 100000 150000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 80000 70000 120000 NA NA NA NA 
NA NA 40000 120000 NA NA NA NA NA NA NA NA NA NA NA NA 60000 140000 75000 140000 NA NA NA NA 
NA NA 60000 133000 NA NA NA NA NA NA NA NA NA NA NA NA 30000 150000 70000 120000 NA NA NA NA 
NA NA 120000 70000 NA NA NA NA NA NA NA NA NA NA NA NA 100000 100000 67000 100000 NA NA NA NA 
NA NA 90000 100000 NA NA NA NA NA NA NA NA NA NA NA NA 90000 150000 100000 100000 NA NA NA NA 
NA NA 70000 85000 NA NA NA NA NA NA NA NA NA NA NA NA 54000 110000 50000 70000 NA NA NA NA 
NA NA 55000 90000 NA NA NA NA NA NA NA NA NA NA NA NA 100000 120000 50000 120000 NA NA NA NA 
NA NA 100000 100000 NA NA NA NA NA NA NA NA NA NA NA NA 100000 60000 65000 80000 NA NA NA NA 
NA NA 70000 80000 NA NA NA NA NA NA NA NA NA NA NA NA 100000 130000 60000 160000 NA NA NA NA 
NA NA 90000 150000 NA NA NA NA NA NA NA NA NA NA NA NA 40000 150000 100000 85000 NA NA NA NA 
NA NA 100000 130000 NA NA NA NA NA NA NA NA NA NA NA NA 20000 80000 60000 50000 NA NA NA NA 
NA NA 100000 80000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 150000 30000 120000 NA NA NA NA 
NA NA 120000 54500 NA NA NA NA NA NA NA NA NA NA NA NA 60000 100000 80000 NA NA NA NA NA 
NA NA 80000 140000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 90000 80000 NA NA NA NA NA 
NA NA 40000 80000 NA NA NA NA NA NA NA NA NA NA NA NA 60000 70000 90000 NA NA NA NA NA 
NA NA 130000 70000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 100000 100000 NA NA NA NA NA 
NA NA 80000 120000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 120000 150000 NA NA NA NA NA 
NA NA 100000 120000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 110000 85000 NA NA NA NA NA 
NA NA 120000 120000 NA NA NA NA NA NA NA NA NA NA NA NA 35000 90000 70000 NA NA NA NA NA 
NA NA 70000 130000 NA NA NA NA NA NA NA NA NA NA NA NA 60000 80000 120000 NA NA NA NA NA 
NA NA 30000 180000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 175000 75000 NA NA NA NA NA 
NA NA 70000 80000 NA NA NA NA NA NA NA NA NA NA NA NA 130000 120000 70000 NA NA NA NA NA 
NA NA 50000 65000 NA NA NA NA NA NA NA NA NA NA NA NA 70000 120000 55000 NA NA NA NA NA 
NA NA 110000 130000 NA NA NA NA NA NA NA NA NA NA NA NA 70000 70000 50000 NA NA NA NA NA 
NA NA 60000 120000 NA NA NA NA NA NA NA NA NA NA NA NA 70000 100000 30000 NA NA NA NA NA 
NA NA 80000 120000 NA NA NA NA NA NA NA NA NA NA NA NA 67000 120000 80000 NA NA NA NA NA 
NA NA 70000 35000 NA NA NA NA NA NA NA NA NA NA NA NA 70000 100000 75000 NA NA NA NA NA 
NA NA 60000 70000 NA NA NA NA NA NA NA NA NA NA NA NA 50000 5000 80000 NA NA NA NA NA 
NA NA 60000 80000 NA NA NA NA NA NA NA NA NA NA NA NA 60000 100000 80000 NA NA NA NA NA 
NA NA 45000 80000 NA NA NA NA NA NA NA NA NA NA NA NA 90000 80000 60000 NA NA NA NA NA 
NA NA 80000 65000 NA NA NA NA NA NA NA NA NA NA NA NA 100000 120000 80000 NA NA NA NA NA 
NA NA 3200 90000 NA NA NA NA NA NA NA NA NA NA NA NA 60000 110000 2500 NA NA NA NA NA 
NA NA 50000 160000 NA NA NA NA NA NA NA NA NA NA NA NA 30000 120000 85000 NA NA NA NA NA 
NA NA 100000 100000 NA NA NA NA NA NA NA NA NA NA NA NA 100000 90000 80000 NA NA NA NA NA 
NA NA 90000 75777 NA NA NA NA NA NA NA NA NA NA NA NA 80000 90000 100000 NA NA NA NA NA 
NA NA 45000 110000 NA NA NA NA NA NA NA NA NA NA NA NA 100000 220000 85000 NA NA NA NA NA 
NA NA 70000 60000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 80000 60000 NA NA NA NA NA 
NA NA 95000 120000 NA NA NA NA NA NA NA NA NA NA NA NA 100000 120000 55000 NA NA NA NA NA 
NA NA 100000 80000 NA NA NA NA NA NA NA NA NA NA NA NA 90000 NA 50000 NA NA NA NA NA 
NA NA 80000 120000 NA NA NA NA NA NA NA NA NA NA NA NA 110000 NA 100000 NA NA NA NA NA 
NA NA 120000 100000 NA NA NA NA NA NA NA NA NA NA NA NA 90000 NA 180000 NA NA NA NA NA 
NA NA 60000 40000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 NA 50000 NA NA NA NA NA 
NA NA 100000 130000 NA NA NA NA NA NA NA NA NA NA NA NA 90000 NA 50000 NA NA NA NA NA 
NA NA 90000 70000 NA NA NA NA NA NA NA NA NA NA NA NA 90000 NA 80000 NA NA NA NA NA 
NA NA 130000 80000 NA NA NA NA NA NA NA NA NA NA NA NA 40000 NA 40000 NA NA NA NA NA 
NA NA 50000 140000 NA NA NA NA NA NA NA NA NA NA NA NA 100000 NA 120000 NA NA NA NA NA 
NA NA 40000 130000 NA NA NA NA NA NA NA NA NA NA NA NA 70000 NA 80000 NA NA NA NA NA 
NA NA 80000 150000 NA NA NA NA NA NA NA NA NA NA NA NA 90000 NA 70000 NA NA NA NA NA 
NA NA 60000 150000 NA NA NA NA NA NA NA NA NA NA NA NA 55000 NA 40000 NA NA NA NA NA 
NA NA 80000 100000 NA NA NA NA NA NA NA NA NA NA NA NA 100000 NA 90000 NA NA NA NA NA 
NA NA 60000 150000 NA NA NA NA NA NA NA NA NA NA NA NA 75000 NA 100000 NA NA NA NA NA 
NA NA 60000 103500 NA NA NA NA NA NA NA NA NA NA NA NA 70000 NA NA NA NA NA NA NA 
NA NA 30000 120000 NA NA NA NA NA NA NA NA NA NA NA NA 55000 NA NA NA NA NA NA NA 
NA NA 100000 110000 NA NA NA NA NA NA NA NA NA NA NA NA 50000 NA NA NA NA NA NA NA 
NA NA 70000 120000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 NA NA NA NA NA NA NA 
NA NA 100000 60000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 NA NA NA NA NA NA NA 
NA NA 90000 130000 NA NA NA NA NA NA NA NA NA NA NA NA 70000 NA NA NA NA NA NA NA 
NA NA 54000 160000 NA NA NA NA NA NA NA NA NA NA NA NA 60000 NA NA NA NA NA NA NA 
NA NA 100000 150000 NA NA NA NA NA NA NA NA NA NA NA NA 40000 NA NA NA NA NA NA NA 
NA NA 100000 80000 NA NA NA NA NA NA NA NA NA NA NA NA 70000 NA NA NA NA NA NA NA 
NA NA 100000 150000 NA NA NA NA NA NA NA NA NA NA NA NA 50000 NA NA NA NA NA NA NA 
NA NA 40000 100000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 NA NA NA NA NA NA NA 
NA NA 20000 90000 NA NA NA NA NA NA NA NA NA NA NA NA 130000 NA NA NA NA NA NA NA 
NA NA 80000 140000 NA NA NA NA NA NA NA NA NA NA NA NA 60000 NA NA NA NA NA NA NA 
NA NA 100000 70000 NA NA NA NA NA NA NA NA NA NA NA NA 70000 NA NA NA NA NA NA NA 
NA NA 90000 100000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 NA NA NA NA NA NA NA 
NA NA 60000 140000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 NA NA NA NA NA NA NA 
NA NA 135000 100000 NA NA NA NA NA NA NA NA NA NA NA NA 2500 NA NA NA NA NA NA NA 
NA NA 120000 150000 NA NA NA NA NA NA NA NA NA NA NA NA 60000 NA NA NA NA NA NA NA 
NA NA 80000 120000 NA NA NA NA NA NA NA NA NA NA NA NA 100000 NA NA NA NA NA NA NA 
NA NA 60000 120000 NA NA NA NA NA NA NA NA NA NA NA NA 60000 NA NA NA NA NA NA NA 
NA NA 80000 110000 NA NA NA NA NA NA NA NA NA NA NA NA 100000 NA NA NA NA NA NA NA 
NA NA 50000 90000 NA NA NA NA NA NA NA NA NA NA NA NA 40000 NA NA NA NA NA NA NA 
NA NA 100000 80000 NA NA NA NA NA NA NA NA NA NA NA NA 55000 NA NA NA NA NA NA NA 
NA NA 80000 175000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 NA NA NA NA NA NA NA 
NA NA 80000 120000 NA NA NA NA NA NA NA NA NA NA NA NA 180000 NA NA NA NA NA NA NA 
NA NA 35000 120000 NA NA NA NA NA NA NA NA NA NA NA NA 80000 NA NA NA NA NA NA NA 
NA NA 60000 70000 NA NA NA NA NA NA NA NA NA NA NA NA 40000 NA NA NA NA NA NA NA 
NA NA 80000 100000 NA NA NA NA NA NA NA NA NA NA NA NA 50000 NA NA NA NA NA NA NA 
NA NA 150000 90000 NA NA NA NA NA NA NA NA NA NA NA NA 100000 NA NA NA NA NA NA NA 
NA NA 150000 120000 NA NA NA NA NA NA NA NA NA NA NA NA 60000 NA NA NA NA NA NA NA 
NA NA 130000 100000 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA 70000 5000 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA 70000 110000 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
