cpp_min cpp_max java_min java_max perl_min perl_max python_min python_max sap_min sap_max bash_min bash_max perl_min perl_max ruby_min ruby_max javascript_min javascript_max php_min php_max onec_min onec_max csharp_min csharp_max 
60000 150000 120000 125000 90000 150000 140000 150000 120000 160000 60000 120000 90000 150000 120000 120000 60000 100000 120000 125000 65000 120000 85000 50000 
140000 150000 60000 100000 60000 150000 120000 150000 45000 70000 80000 150000 60000 150000 100000 80000 70000 120000 60000 80000 80000 120000 60000 95000 
40000 110000 70000 120000 90000 140000 60000 150000 130000 150000 90000 60000 90000 140000 50000 140000 60000 70000 70000 100000 80000 100000 140000 86130 
90000 110000 80000 70000 80000 180000 110000 110000 120000 140000 80000 150000 80000 180000 70000 90000 30000 69600 69600 120000 60000 120000 40000 100000 
80000 200000 60000 120000 50000 120000 100000 130000 100000 85000 90000 80000 50000 120000 90000 180000 69600 70000 70000 90000 110000 120000 110000 150000 
90000 150000 30000 69600 70000 100000 80000 140000 135000 110000 110000 180000 70000 100000 100000 90000 70000 100000 75000 69600 130000 130000 100000 110000 
70000 150000 69600 86130 90000 140000 60000 120000 150000 180000 40000 140000 90000 140000 100000 130000 120000 80000 120000 70000 130000 120000 130000 100000 
80000 150000 70000 70000 80000 100000 70000 80000 120000 220000 80000 180000 80000 100000 70000 150000 50000 150000 110000 120000 70000 70000 90000 150000 
90000 180000 120000 100000 80000 130000 90000 150000 140000 90000 70000 75000 80000 130000 80000 100000 90000 130000 100000 150000 30000 NA 70000 100000 
50000 70000 50000 100000 90000 90000 50000 150000 60000 85000 100000 120000 90000 90000 150000 150000 110000 120000 90000 120000 50000 NA 120000 200000 
150000 100000 140000 80000 110000 130000 90000 180000 100000 100000 100000 100000 110000 130000 90000 110000 90000 3000 65000 75000 60000 NA 100000 80000 
110000 100000 120000 150000 100000 90000 120000 140000 120000 200000 80000 NA 100000 90000 100000 100000 2000 45000 40000 45000 80000 NA 50000 130000 
80000 5000 90000 130000 80000 140000 40000 120000 NA 120000 90000 NA 80000 140000 120000 110000 40000 75000 50000 100000 90000 NA 150000 100000 
80000 100000 110000 120000 100000 120000 80000 120000 NA 135000 90000 NA 100000 120000 90000 90000 50000 75000 50000 75000 50000 NA 120000 150000 
110000 160000 100000 3000 80000 170000 80000 150000 NA NA 80000 NA 80000 170000 120000 90000 50000 40000 30000 75000 100000 NA 50000 130000 
100000 130000 90000 45000 80000 80000 150000 100000 NA NA 100000 NA 80000 80000 70000 120000 50000 120000 90000 40000 80000 NA 65000 100000 
80000 140000 2000 120000 100000 75000 150000 110000 NA NA 85000 NA 100000 75000 90000 110000 30000 120000 90000 90000 80000 NA 80000 90000 
125000 150000 120000 75000 50000 160000 75000 60000 NA NA 120000 NA 50000 160000 120000 120000 70000 150000 80000 70000 140000 NA 70000 215000 
70000 150000 40000 75000 100000 120000 80000 150000 NA NA 50000 NA 100000 120000 130000 90000 90000 90000 70000 130000 60000 NA 90000 100000 
140000 130000 90000 40000 70000 100000 150000 110000 NA NA 70000 NA 70000 100000 40000 100000 70000 130000 100000 80000 40000 NA 90000 150000 
90000 150000 50000 120000 NA NA 80000 80000 NA NA NA NA NA NA 100000 120000 80000 130000 50000 95000 50000 NA 100000 80000 
40000 80000 50000 180000 NA NA 120000 120000 NA NA NA NA NA NA 80000 120000 80000 80000 90000 120000 70000 NA 60000 120000 
80000 140000 50000 120000 NA NA 140000 120000 NA NA NA NA NA NA 80000 120000 90000 95000 70000 100000 120000 NA 80000 130000 
70000 120000 30000 150000 NA NA 100000 115000 NA NA NA NA NA NA 80000 120000 100000 120000 60000 90000 70000 NA 70000 150000 
100000 120000 60000 100000 NA NA 90000 100000 NA NA NA NA NA NA 50000 NA 50000 100000 90000 140000 NA NA 100000 130000 
80000 180000 70000 120000 NA NA 35000 90000 NA NA NA NA NA NA 90000 NA 90000 90000 40000 60000 NA NA 100000 140000 
100000 90000 120000 90000 NA NA 90000 90000 NA NA NA NA NA NA 90000 NA 70000 140000 120000 80000 NA NA 80000 100000 
3000 180000 90000 90000 NA NA 120000 105000 NA NA NA NA NA NA 90000 NA 60000 160000 40000 80000 NA NA 130000 70000 
70000 110000 70000 70000 NA NA 50000 150000 NA NA NA NA NA NA 90000 NA 90000 110000 70000 80000 NA NA 130000 90000 
100000 150000 110000 130000 NA NA 100000 80000 NA NA NA NA NA NA NA NA 100000 130000 60000 100000 NA NA 80000 100000 
120000 70000 40000 140000 NA NA 80000 65000 NA NA NA NA NA NA NA NA 120000 80000 50000 50000 NA NA 70000 150000 
80000 70000 80000 130000 NA NA 120000 100000 NA NA NA NA NA NA NA NA 120000 100000 30000 100000 NA NA 60000 180000 
80000 150000 70000 80000 NA NA 90000 80000 NA NA NA NA NA NA NA NA 100000 50000 70000 80000 NA NA 90000 100000 
100000 100000 80000 95000 NA NA 70000 85000 NA NA NA NA NA NA NA NA 80000 75000 70000 135000 NA NA 80000 140000 
120000 150000 70000 130000 NA NA 45000 90000 NA NA NA NA NA NA NA NA 90000 150000 120000 75000 NA NA 130000 180000 
140000 70000 90000 120000 NA NA 90000 140000 NA NA NA NA NA NA NA NA 40000 70000 60000 120000 NA NA 70000 70000 
